bins,z_score,p_val,significant
0,4.134491152973616,3.5574195649950636e-05,True
1,-4.712170520621545,2.450921529913915e-06,True
2,1.7425375883933072,0.08141442011758705,False
3,1.002006020070253,0.31634068532105364,False
4,3.392090233267331,0.0006936159383422362,True
5,-8.21037229628149,2.205037164552571e-16,True
6,2.6835882863313776,0.0072836741310499204,True
7,1.002006020070253,0.31634068532105364,False
8,1.002006020070253,0.31634068532105364,False
9,3.392090233267331,0.0006936159383422362,True
10,1.002006020070253,0.31634068532105364,False
11,3.5503580124836316,0.00038470759403592996,True
12,1.419904585617662,0.15563546075803855,False
13,1.002006020070253,0.31634068532105364,False
14,1.419904585617662,0.15563546075803855,False
15,1.7425375883933072,0.08141442011758705,False
16,1.419904585617662,0.15563546075803855,False
17,3.7031176282662654,0.00021296607486092535,True
18,1.419904585617662,0.15563546075803855,False
19,2.4794235184023234,0.013159494860408696,True
